country,scenario,year,olefins_activity,h2_intensity,h2_demand_t_per_yr,scope
FR,decarbo-eu,2022,5738129.428571427,0.02,114762.58857142855,petrochem_olefins
FR,decarbo-eu,2023,5738129.428571427,0.02,114762.58857142855,petrochem_olefins
FR,decarbo-eu,2024,5738129.428571427,0.02,114762.58857142855,petrochem_olefins
FR,decarbo-eu,2025,5438804.718024644,0.02,108776.09436049289,petrochem_olefins
FR,decarbo-eu,2026,5139480.007477862,0.02,102789.60014955724,petrochem_olefins
FR,decarbo-eu,2027,4840155.296931079,0.02,96803.10593862158,petrochem_olefins
FR,decarbo-eu,2028,4540830.586384295,0.02,90816.61172768589,petrochem_olefins
FR,decarbo-eu,2029,4241505.875837512,0.02,84830.11751675025,petrochem_olefins
FR,decarbo-eu,2030,3942181.165290728,0.02,78843.62330581456,petrochem_olefins
FR,decarbo-eu,2031,3698834.5347139207,0.0198,73236.92378733563,petrochem_olefins
FR,decarbo-eu,2032,3455487.9041371127,0.0196,67727.5629210874,petrochem_olefins
FR,decarbo-eu,2033,3212141.2735603037,0.0194,62315.54070706989,petrochem_olefins
FR,decarbo-eu,2034,2968794.6429834967,0.0192,57000.85714528313,petrochem_olefins
FR,decarbo-eu,2035,2725448.012406688,0.019,51783.512235727074,petrochem_olefins
FR,decarbo-eu,2036,2482101.3818298792,0.0188,46663.50597840173,petrochem_olefins
FR,decarbo-eu,2037,2238754.7512530712,0.018600000000000002,41640.83837330713,petrochem_olefins
FR,decarbo-eu,2038,1995408.1206762628,0.0184,36715.50942044323,petrochem_olefins
FR,decarbo-eu,2039,1752061.4900994545,0.0182,31887.519119810073,petrochem_olefins
FR,decarbo-eu,2040,1508714.859522646,0.018000000000000002,27156.867471407633,petrochem_olefins
FR,decarbo-eu,2041,1412160.8448826768,0.0178,25136.463038911646,petrochem_olefins
FR,decarbo-eu,2042,1315606.8302427072,0.0176,23154.680212271647,petrochem_olefins
FR,decarbo-eu,2043,1219052.8156027375,0.0174,21211.518991487632,petrochem_olefins
FR,decarbo-eu,2044,1122498.8009627683,0.017200000000000003,19306.97937655962,petrochem_olefins
FR,decarbo-eu,2045,1025944.7863227986,0.017,17441.06136748758,petrochem_olefins
FR,decarbo-eu,2046,929390.7716828289,0.016800000000000002,15613.764964271528,petrochem_olefins
FR,decarbo-eu,2047,832836.7570428593,0.0166,13825.090166911465,petrochem_olefins
FR,decarbo-eu,2048,736282.7424028894,0.0164,12075.036975407387,petrochem_olefins
FR,decarbo-eu,2049,639728.7277629203,0.016200000000000003,10363.60538975931,petrochem_olefins
