country,scenario,year,olefins_activity,h2_intensity,h2_demand_t_per_yr,scope
GR,bau-eu,2048,478.68418486391755,0.0191,9.142867930900824,petrochem_olefins
GR,bau-eu,2049,418.2659866437214,0.019049999999999997,7.967967045562892,petrochem_olefins
GR,bau-eu,2050,357.847788423525,0.019,6.7991079800469745,petrochem_olefins
HR,bau-eu,2019,0.0,0.02,0.0,petrochem_olefins
HR,bau-eu,2020,0.0,0.02,0.0,petrochem_olefins
HR,bau-eu,2021,0.0,0.02,0.0,petrochem_olefins
HR,bau-eu,2022,0.0,0.02,0.0,petrochem_olefins
HR,bau-eu,2023,0.0,0.02,0.0,petrochem_olefins
HR,bau-eu,2024,0.0,0.02,0.0,petrochem_olefins
HR,bau-eu,2025,0.0,0.02,0.0,petrochem_olefins
HR,bau-eu,2026,0.0,0.02,0.0,petrochem_olefins
HR,bau-eu,2027,0.0,0.02,0.0,petrochem_olefins
HR,bau-eu,2028,0.0,0.02,0.0,petrochem_olefins
HR,bau-eu,2029,0.0,0.02,0.0,petrochem_olefins
HR,bau-eu,2030,0.0,0.02,0.0,petrochem_olefins
HR,bau-eu,2031,0.0,0.019950000000000002,0.0,petrochem_olefins
HR,bau-eu,2032,0.0,0.0199,0.0,petrochem_olefins
HR,bau-eu,2033,0.0,0.01985,0.0,petrochem_olefins
HR,bau-eu,2034,0.0,0.0198,0.0,petrochem_olefins
HR,bau-eu,2035,0.0,0.01975,0.0,petrochem_olefins
HR,bau-eu,2036,0.0,0.0197,0.0,petrochem_olefins
HR,bau-eu,2037,0.0,0.019649999999999997,0.0,petrochem_olefins
HR,bau-eu,2038,0.0,0.0196,0.0,petrochem_olefins
HR,bau-eu,2039,0.0,0.01955,0.0,petrochem_olefins
HR,bau-eu,2040,0.0,0.0195,0.0,petrochem_olefins
HR,bau-eu,2041,0.0,0.01945,0.0,petrochem_olefins
HR,bau-eu,2042,0.0,0.0194,0.0,petrochem_olefins
HR,bau-eu,2043,0.0,0.019350000000000003,0.0,petrochem_olefins
HR,bau-eu,2044,0.0,0.0193,0.0,petrochem_olefins
HR,bau-eu,2045,0.0,0.01925,0.0,petrochem_olefins
HR,bau-eu,2046,0.0,0.0192,0.0,petrochem_olefins
HR,bau-eu,2047,0.0,0.01915,0.0,petrochem_olefins
HR,bau-eu,2048,0.0,0.0191,0.0,petrochem_olefins
HR,bau-eu,2049,0.0,0.019049999999999997,0.0,petrochem_olefins
HR,bau-eu,2050,0.0,0.019,0.0,petrochem_olefins
HU,bau-eu,2019,838928.5714285712,0.02,16778.571428571424,petrochem_olefins
HU,bau-eu,2020,838928.5714285712,0.02,16778.571428571424,petrochem_olefins
HU,bau-eu,2021,838928.5714285712,0.02,16778.571428571424,petrochem_olefins
HU,bau-eu,2022,838928.5714285712,0.02,16778.571428571424,petrochem_olefins
HU,bau-eu,2023,838928.5714285712,0.02,16778.571428571424,petrochem_olefins
HU,bau-eu,2024,838928.5714285712,0.02,16778.571428571424,petrochem_olefins
HU,bau-eu,2025,838928.5714285712,0.02,16778.571428571424,petrochem_olefins
HU,bau-eu,2026,838928.5714285712,0.02,16778.571428571424,petrochem_olefins
HU,bau-eu,2027,838928.5714285712,0.02,16778.571428571424,petrochem_olefins
HU,bau-eu,2028,838928.5714285712,0.02,16778.571428571424,petrochem_olefins
HU,bau-eu,2029,838928.5714285712,0.02,16778.571428571424,petrochem_olefins
HU,bau-eu,2030,838928.5714285712,0.02,16778.571428571424,petrochem_olefins
HU,bau-eu,2031,838928.5714285712,0.019950000000000002,16736.625,petrochem_olefins
HU,bau-eu,2032,838928.5714285712,0.0199,16694.67857142857,petrochem_olefins
HU,bau-eu,2033,838928.5714285712,0.01985,16652.732142857138,petrochem_olefins
HU,bau-eu,2034,838928.5714285712,0.0198,16610.785714285714,petrochem_olefins
HU,bau-eu,2035,838928.5714285712,0.01975,16568.839285714283,petrochem_olefins
HU,bau-eu,2036,838928.5714285712,0.0197,16526.89285714285,petrochem_olefins
HU,bau-eu,2037,838928.5714285712,0.019649999999999997,16484.946428571424,petrochem_olefins
HU,bau-eu,2038,838928.5714285712,0.0196,16442.999999999996,petrochem_olefins
HU,bau-eu,2039,838928.5714285712,0.01955,16401.05357142857,petrochem_olefins
HU,bau-eu,2040,838928.5714285712,0.0195,16359.10714285714,petrochem_olefins
HU,bau-eu,2041,838928.5714285712,0.01945,16317.16071428571,petrochem_olefins
HU,bau-eu,2042,838928.5714285712,0.0194,16275.214285714283,petrochem_olefins
HU,bau-eu,2043,838928.5714285712,0.019350000000000003,16233.267857142855,petrochem_olefins
HU,bau-eu,2044,838928.5714285712,0.0193,16191.321428571426,petrochem_olefins
HU,bau-eu,2045,838928.5714285712,0.01925,16149.374999999996,petrochem_olefins
HU,bau-eu,2046,838928.5714285712,0.0192,16107.428571428567,petrochem_olefins
HU,bau-eu,2047,838928.5714285712,0.01915,16065.48214285714,petrochem_olefins
HU,bau-eu,2048,838928.5714285712,0.0191,16023.53571428571,petrochem_olefins
HU,bau-eu,2049,838928.5714285712,0.019049999999999997,15981.58928571428,petrochem_olefins
HU,bau-eu,2050,838928.5714285712,0.019,15939.642857142853,petrochem_olefins
IE,bau-eu,2019,0.0,0.02,0.0,petrochem_olefins
IE,bau-eu,2020,0.0,0.02,0.0,petrochem_olefins
IE,bau-eu,2021,0.0,0.02,0.0,petrochem_olefins
IE,bau-eu,2022,0.0,0.02,0.0,petrochem_olefins
IE,bau-eu,2023,0.0,0.02,0.0,petrochem_olefins
IE,bau-eu,2024,0.0,0.02,0.0,petrochem_olefins
IE,bau-eu,2025,0.0,0.02,0.0,petrochem_olefins
IE,bau-eu,2026,0.0,0.02,0.0,petrochem_olefins
IE,bau-eu,2027,0.0,0.02,0.0,petrochem_olefins
IE,bau-eu,2028,0.0,0.02,0.0,petrochem_olefins
IE,bau-eu,2029,0.0,0.02,0.0,petrochem_olefins
IE,bau-eu,2030,0.0,0.02,0.0,petrochem_olefins
IE,bau-eu,2031,0.0,0.019950000000000002,0.0,petrochem_olefins
IE,bau-eu,2032,0.0,0.0199,0.0,petrochem_olefins
IE,bau-eu,2033,0.0,0.01985,0.0,petrochem_olefins
IE,bau-eu,2034,0.0,0.0198,0.0,petrochem_olefins
IE,bau-eu,2035,0.0,0.01975,0.0,petrochem_olefins
IE,bau-eu,2036,0.0,0.0197,0.0,petrochem_olefins
IE,bau-eu,2037,0.0,0.019649999999999997,0.0,petrochem_olefins
IE,bau-eu,2038,0.0,0.0196,0.0,petrochem_olefins
IE,bau-eu,2039,0.0,0.01955,0.0,petrochem_olefins
IE,bau-eu,2040,0.0,0.0195,0.0,petrochem_olefins
IE,bau-eu,2041,0.0,0.01945,0.0,petrochem_olefins
IE,bau-eu,2042,0.0,0.0194,0.0,petrochem_olefins
IE,bau-eu,2043,0.0,0.019350000000000003,0.0,petrochem_olefins
IE,bau-eu,2044,0.0,0.0193,0.0,petrochem_olefins
IE,bau-eu,2045,0.0,0.01925,0.0,petrochem_olefins
IE,bau-eu,2046,0.0,0.0192,0.0,petrochem_olefins
IE,bau-eu,2047,0.0,0.01915,0.0,petrochem_olefins
IE,bau-eu,2048,0.0,0.0191,0.0,petrochem_olefins
IE,bau-eu,2049,0.0,0.019049999999999997,0.0,petrochem_olefins
IE,bau-eu,2050,0.0,0.019,0.0,petrochem_olefins
IT,bau-eu,2019,2019801.571428571,0.02,40396.03142857142,petrochem_olefins
IT,bau-eu,2020,2019801.571428571,0.02,40396.03142857142,petrochem_olefins
IT,bau-eu,2021,2019801.571428571,0.02,40396.03142857142,petrochem_olefins
IT,bau-eu,2022,2019801.571428571,0.02,40396.03142857142,petrochem_olefins
IT,bau-eu,2023,2019801.571428571,0.02,40396.03142857142,petrochem_olefins
IT,bau-eu,2024,2019801.571428571,0.02,40396.03142857142,petrochem_olefins
IT,bau-eu,2025,1910668.2807047116,0.02,38213.36561409423,petrochem_olefins
IT,bau-eu,2026,1801534.989980853,0.02,36030.69979961706,petrochem_olefins
IT,bau-eu,2027,1692401.699256994,0.02,33848.03398513988,petrochem_olefins
IT,bau-eu,2028,1583268.4085331343,0.02,31665.368170662685,petrochem_olefins
IT,bau-eu,2029,1474135.1178092754,0.02,29482.70235618551,petrochem_olefins
IT,bau-eu,2030,1365001.8270854165,0.02,27300.03654170833,petrochem_olefins
IT,bau-eu,2031,1284145.1007670364,0.019950000000000002,25618.69476030238,petrochem_olefins
IT,bau-eu,2032,1203288.3744486559,0.0199,23945.438651528253,petrochem_olefins
IT,bau-eu,2033,1122431.648130276,0.01985,22280.26821538598,petrochem_olefins
IT,bau-eu,2034,1041574.9218118957,0.0198,20623.183451875535,petrochem_olefins
IT,bau-eu,2035,960718.1954935155,0.01975,18974.18436099693,petrochem_olefins
IT,bau-eu,2036,879861.4691751354,0.0197,17333.270942750165,petrochem_olefins
IT,bau-eu,2037,799004.742856755,0.019649999999999997,15700.443197135235,petrochem_olefins
IT,bau-eu,2038,718148.0165383749,0.0196,14075.701124152149,petrochem_olefins
IT,bau-eu,2039,637291.2902199947,0.01955,12459.044723800898,petrochem_olefins
IT,bau-eu,2040,556434.5639016146,0.0195,10850.473996081486,petrochem_olefins
IT,bau-eu,2041,521488.8950617426,0.01945,10142.959008950893,petrochem_olefins
IT,bau-eu,2042,486543.22622187063,0.0194,9438.93858870429,petrochem_olefins
IT,bau-eu,2043,451597.5573819988,0.019350000000000003,8738.412735341679,petrochem_olefins
IT,bau-eu,2044,416651.8885421268,0.0193,8041.381448863048,petrochem_olefins
IT,bau-eu,2045,381706.2197022549,0.01925,7347.844729268407,petrochem_olefins
IT,bau-eu,2046,346760.550862383,0.0192,6657.802576557752,petrochem_olefins
IT,bau-eu,2047,311814.8820225111,0.01915,5971.254990731088,petrochem_olefins
IT,bau-eu,2048,276869.213182639,0.0191,5288.201971788404,petrochem_olefins
IT,bau-eu,2049,241923.54434276716,0.019049999999999997,4608.643519729714,petrochem_olefins
IT,bau-eu,2050,206977.87550289524,0.019,3932.5796345550093,petrochem_olefins
LT,bau-eu,2019,0.0,0.02,0.0,petrochem_olefins
LT,bau-eu,2020,0.0,0.02,0.0,petrochem_olefins
LT,bau-eu,2021,0.0,0.02,0.0,petrochem_olefins
LT,bau-eu,2022,0.0,0.02,0.0,petrochem_olefins
LT,bau-eu,2023,0.0,0.02,0.0,petrochem_olefins
LT,bau-eu,2024,0.0,0.02,0.0,petrochem_olefins
LT,bau-eu,2025,0.0,0.02,0.0,petrochem_olefins
LT,bau-eu,2026,0.0,0.02,0.0,petrochem_olefins
LT,bau-eu,2027,0.0,0.02,0.0,petrochem_olefins
LT,bau-eu,2028,0.0,0.02,0.0,petrochem_olefins
LT,bau-eu,2029,0.0,0.02,0.0,petrochem_olefins
LT,bau-eu,2030,0.0,0.02,0.0,petrochem_olefins
LT,bau-eu,2031,0.0,0.019950000000000002,0.0,petrochem_olefins
LT,bau-eu,2032,0.0,0.0199,0.0,petrochem_olefins
LT,bau-eu,2033,0.0,0.01985,0.0,petrochem_olefins
LT,bau-eu,2034,0.0,0.0198,0.0,petrochem_olefins
LT,bau-eu,2035,0.0,0.01975,0.0,petrochem_olefins
LT,bau-eu,2036,0.0,0.0197,0.0,petrochem_olefins
LT,bau-eu,2037,0.0,0.019649999999999997,0.0,petrochem_olefins
LT,bau-eu,2038,0.0,0.0196,0.0,petrochem_olefins
LT,bau-eu,2039,0.0,0.01955,0.0,petrochem_olefins
LT,bau-eu,2040,0.0,0.0195,0.0,petrochem_olefins
LT,bau-eu,2041,0.0,0.01945,0.0,petrochem_olefins
LT,bau-eu,2042,0.0,0.0194,0.0,petrochem_olefins
LT,bau-eu,2043,0.0,0.019350000000000003,0.0,petrochem_olefins
LT,bau-eu,2044,0.0,0.0193,0.0,petrochem_olefins
LT,bau-eu,2045,0.0,0.01925,0.0,petrochem_olefins
LT,bau-eu,2046,0.0,0.0192,0.0,petrochem_olefins
LT,bau-eu,2047,0.0,0.01915,0.0,petrochem_olefins
LT,bau-eu,2048,0.0,0.0191,0.0,petrochem_olefins
LT,bau-eu,2049,0.0,0.019049999999999997,0.0,petrochem_olefins
LT,bau-eu,2050,0.0,0.019,0.0,petrochem_olefins
LU,bau-eu,2019,0.0,0.02,0.0,petrochem_olefins
LU,bau-eu,2020,0.0,0.02,0.0,petrochem_olefins
LU,bau-eu,2021,0.0,0.02,0.0,petrochem_olefins
LU,bau-eu,2022,0.0,0.02,0.0,petrochem_olefins
LU,bau-eu,2023,0.0,0.02,0.0,petrochem_olefins
LU,bau-eu,2024,0.0,0.02,0.0,petrochem_olefins
LU,bau-eu,2025,0.0,0.02,0.0,petrochem_olefins
LU,bau-eu,2026,0.0,0.02,0.0,petrochem_olefins
LU,bau-eu,2027,0.0,0.02,0.0,petrochem_olefins
LU,bau-eu,2028,0.0,0.02,0.0,petrochem_olefins
LU,bau-eu,2029,0.0,0.02,0.0,petrochem_olefins
LU,bau-eu,2030,0.0,0.02,0.0,petrochem_olefins
LU,bau-eu,2031,0.0,0.019950000000000002,0.0,petrochem_olefins
LU,bau-eu,2032,0.0,0.0199,0.0,petrochem_olefins
LU,bau-eu,2033,0.0,0.01985,0.0,petrochem_olefins
LU,bau-eu,2034,0.0,0.0198,0.0,petrochem_olefins
LU,bau-eu,2035,0.0,0.01975,0.0,petrochem_olefins
LU,bau-eu,2036,0.0,0.0197,0.0,petrochem_olefins
LU,bau-eu,2037,0.0,0.019649999999999997,0.0,petrochem_olefins
LU,bau-eu,2038,0.0,0.0196,0.0,petrochem_olefins
LU,bau-eu,2039,0.0,0.01955,0.0,petrochem_olefins
LU,bau-eu,2040,0.0,0.0195,0.0,petrochem_olefins
LU,bau-eu,2041,0.0,0.01945,0.0,petrochem_olefins
LU,bau-eu,2042,0.0,0.0194,0.0,petrochem_olefins
LU,bau-eu,2043,0.0,0.019350000000000003,0.0,petrochem_olefins
LU,bau-eu,2044,0.0,0.0193,0.0,petrochem_olefins
LU,bau-eu,2045,0.0,0.01925,0.0,petrochem_olefins
LU,bau-eu,2046,0.0,0.0192,0.0,petrochem_olefins
LU,bau-eu,2047,0.0,0.01915,0.0,petrochem_olefins
LU,bau-eu,2048,0.0,0.0191,0.0,petrochem_olefins
LU,bau-eu,2049,0.0,0.019049999999999997,0.0,petrochem_olefins
LU,bau-eu,2050,0.0,0.019,0.0,petrochem_olefins
LV,bau-eu,2019,0.0,0.02,0.0,petrochem_olefins
LV,bau-eu,2020,0.0,0.02,0.0,petrochem_olefins
LV,bau-eu,2021,0.0,0.02,0.0,petrochem_olefins
LV,bau-eu,2022,0.0,0.02,0.0,petrochem_olefins
LV,bau-eu,2023,0.0,0.02,0.0,petrochem_olefins
LV,bau-eu,2024,0.0,0.02,0.0,petrochem_olefins
LV,bau-eu,2025,0.0,0.02,0.0,petrochem_olefins
LV,bau-eu,2026,0.0,0.02,0.0,petrochem_olefins
LV,bau-eu,2027,0.0,0.02,0.0,petrochem_olefins
LV,bau-eu,2028,0.0,0.02,0.0,petrochem_olefins
LV,bau-eu,2029,0.0,0.02,0.0,petrochem_olefins
LV,bau-eu,2030,0.0,0.02,0.0,petrochem_olefins
LV,bau-eu,2031,0.0,0.019950000000000002,0.0,petrochem_olefins
LV,bau-eu,2032,0.0,0.0199,0.0,petrochem_olefins
LV,bau-eu,2033,0.0,0.01985,0.0,petrochem_olefins
LV,bau-eu,2034,0.0,0.0198,0.0,petrochem_olefins
