country,scenario,year,aluminium_production,carbothermalreduction_production,electrolysis_bat_production,electrolysis_current_production,smeltoven_production
LT,DE,2050,0.0,0.0,0.0,0.0,0.0
LT,GA,2019,0.0,0.0,0.0,0.0,0.0
LT,GA,2030,0.0,0.0,0.0,0.0,0.0
LT,GA,2040,0.0,0.0,0.0,0.0,0.0
LT,GA,2050,0.0,0.0,0.0,0.0,0.0
LU,DE,2019,0.0,0.0,0.0,0.0,0.0
LU,DE,2030,0.0,0.0,0.0,0.0,0.0
LU,DE,2040,0.0,0.0,0.0,0.0,0.0
LU,DE,2050,0.0,0.0,0.0,0.0,0.0
LU,GA,2019,0.0,0.0,0.0,0.0,0.0
LU,GA,2030,0.0,0.0,0.0,0.0,0.0
LU,GA,2040,0.0,0.0,0.0,0.0,0.0
LU,GA,2050,0.0,0.0,0.0,0.0,0.0
LV,DE,2019,0.0,0.0,0.0,0.0,0.0
LV,DE,2030,0.0,0.0,0.0,0.0,0.0
LV,DE,2040,0.0,0.0,0.0,0.0,0.0
LV,DE,2050,0.0,0.0,0.0,0.0,0.0
LV,GA,2019,0.0,0.0,0.0,0.0,0.0
LV,GA,2030,0.0,0.0,0.0,0.0,0.0
LV,GA,2040,0.0,0.0,0.0,0.0,0.0
LV,GA,2050,0.0,0.0,0.0,0.0,0.0
MT,DE,2019,0.0,0.0,0.0,0.0,0.0
MT,DE,2030,0.0,0.0,0.0,0.0,0.0
MT,DE,2040,0.0,0.0,0.0,0.0,0.0
MT,DE,2050,0.0,0.0,0.0,0.0,0.0
MT,GA,2019,0.0,0.0,0.0,0.0,0.0
MT,GA,2030,0.0,0.0,0.0,0.0,0.0
MT,GA,2040,0.0,0.0,0.0,0.0,0.0
MT,GA,2050,0.0,0.0,0.0,0.0,0.0
NL,DE,2019,86548.19217952187,0.0,0.0,55638.12354405253,30910.068635555886
NL,DE,2030,41213.42484739137,0.0,3597.9974080315446,21868.347878862874,15747.079562696963
NL,DE,2040,0.0,0.0,0.0,0.0,0.0
NL,DE,2050,0.0,0.0,0.0,0.0,0.0
NL,GA,2019,86548.19217952187,0.0,0.0,55638.12354405253,30910.068635555886
NL,GA,2030,41213.42484739137,0.0,3597.9974080315446,21868.347878862874,15747.079562696963
NL,GA,2040,0.0,0.0,0.0,0.0,0.0
NL,GA,2050,0.0,0.0,0.0,0.0,0.0
PL,DE,2019,789003.3140918836,0.0,0.0,789003.3140918836,0.0
PL,DE,2030,789003.3140918836,0.0,41328.74502386057,503834.9734272457,243839.59564077735
PL,DE,2040,789003.3140918836,0.0,78900.33140918837,244591.02736848392,465511.9553142113
PL,DE,2050,789003.3140918836,0.0,315601.32563675346,0.0,473401.98845513014
PL,GA,2019,789003.3140918836,0.0,0.0,789003.3140918836,0.0
PL,GA,2030,789003.3140918836,0.0,41328.74502386057,503834.9734272457,243839.59564077735
PL,GA,2040,789003.3140918836,0.0,78900.33140918837,244591.02736848392,465511.9553142113
PL,GA,2050,789003.3140918836,0.0,315601.32563675346,0.0,473401.98845513014
PT,DE,2019,126707.3504631582,0.0,0.0,126707.3504631582,0.0
PT,DE,2030,126707.3504631582,0.0,6637.051690927335,80911.6937957596,39158.604976471266
PT,DE,2040,126707.3504631582,0.0,12670.735046315822,39279.27864357904,74757.33677326333
PT,DE,2050,126707.3504631582,0.0,50682.94018526329,0.0,76024.41027789492
PT,GA,2019,126707.3504631582,0.0,0.0,126707.3504631582,0.0
PT,GA,2030,126707.3504631582,0.0,6637.051690927335,80911.6937957596,39158.604976471266
PT,GA,2040,126707.3504631582,0.0,12670.735046315822,39279.27864357904,74757.33677326333
PT,GA,2050,126707.3504631582,0.0,50682.94018526329,0.0,76024.41027789492
RO,DE,2019,541255.6253889541,0.0,0.0,541255.6253889541,0.0
RO,DE,2030,541255.6253889541,0.0,28351.485139421406,345630.3779269464,167273.76232258626
RO,DE,2040,541255.6253889541,0.0,54125.56253889541,167789.24387057577,319340.81897948286
RO,DE,2050,541255.6253889541,0.0,216502.25015558163,0.0,324753.37523337244
RO,GA,2019,541255.6253889541,0.0,0.0,541255.6253889541,0.0
RO,GA,2030,541255.6253889541,0.0,28351.485139421406,345630.3779269464,167273.76232258626
