country,scenario,year,steel_production,dri_network_gas_production,dri_hydrogen_production,blastfurnace_bof_production
RO,GA,2030,3448900.00445133,0.0,650364.0008393937,1471530.6685675427
RO,GA,2040,3449425.4630434485,0.0,1241793.1666956414,689885.0926086894
RO,GA,2050,3449425.4630434485,0.0,1724712.7315217243,0.0
SE,DE,2019,4720850.000000001,0.0,0.0,3125202.7000000007
SE,DE,2030,6451828.333333337,0.0,1689764.5634920644,2709767.9000000013
SE,DE,2040,8025445.000000002,0.0,4012722.500000001,1605089.0000000005
SE,DE,2050,11802125.000000004,0.0,10621912.500000004,0.0
SE,GA,2019,4720850.000000001,0.0,0.0,3125202.7000000007
SE,GA,2030,7193676.190476192,0.0,1884058.0498866218,3021344.0000000005
SE,GA,2040,9441700.000000002,0.0,4720850.000000001,1888340.0000000005
SE,GA,2050,14162550.000000004,0.0,12746295.000000004,0.0
SI,DE,2019,623195.0,0.0,0.0,0.0
SI,DE,2030,623299.4593527074,0.0,117536.46947793911,65298.03859885506
SI,DE,2040,623394.4224006232,0.0,224421.99206422435,124678.88448012465
SI,DE,2050,623394.4224006232,0.0,311697.2112003116,0.0
SI,GA,2019,623195.0,0.0,0.0,0.0
SI,GA,2030,623299.4593527074,0.0,117536.46947793911,65298.03859885506
SI,GA,2040,623394.4224006232,0.0,224421.99206422435,124678.88448012465
SI,GA,2050,623394.4224006232,0.0,311697.2112003116,0.0
SK,DE,2019,3936731.457,0.0,0.0,3665096.9864709363
SK,DE,2030,3937391.328179616,0.0,742479.5075995848,2158065.437494607
SK,DE,2040,3937991.2110701767,0.0,1417676.8359852636,787598.2422140354
SK,DE,2050,3937991.2110701767,0.0,1968995.6055350883,0.0
SK,GA,2019,3936731.457,0.0,0.0,3665096.9864709363
SK,GA,2030,3937391.328179616,0.0,742479.5075995848,2158065.437494607
SK,GA,2040,3937991.2110701767,0.0,1417676.8359852636,787598.2422140354
SK,GA,2050,3937991.2110701767,0.0,1968995.6055350883,0.0
