country,year,refinery_scenario,refinery_activity,refinery_index,olefins_scenario
ES,2045,more-molecule,2342674.493607429,0.18898203917738346,bau-eu
ES,2046,more-molecule,2128199.7933600014,0.1716805035541809,bau-eu
ES,2047,more-molecule,1913725.093112574,0.15437896793097836,bau-eu
ES,2048,more-molecule,1699250.3928651456,0.13707743230777575,bau-eu
ES,2049,more-molecule,1484775.6926177184,0.11977589668457322,bau-eu
ES,2050,more-molecule,1270300.9923702907,0.10247436106137066,bau-eu
FI,2019,more-molecule,15932932.158211524,1.0,bau-eu
FI,2020,more-molecule,15932932.158211524,1.0,bau-eu
FI,2021,more-molecule,15932932.158211524,1.0,bau-eu
FI,2022,more-molecule,15932932.158211524,1.0,bau-eu
FI,2023,more-molecule,15932932.158211524,1.0,bau-eu
FI,2024,more-molecule,15932932.158211524,1.0,bau-eu
FI,2025,more-molecule,15072048.920025013,0.945968310814477,bau-eu
FI,2026,more-molecule,14211165.681838512,0.8919366216289545,bau-eu
FI,2027,more-molecule,13350282.443652004,0.8379049324434314,bau-eu
FI,2028,more-molecule,12489399.205465496,0.7838732432579085,bau-eu
FI,2029,more-molecule,11628515.96727899,0.7298415540723858,bau-eu
FI,2030,more-molecule,10767632.729092482,0.6758098648868629,bau-eu
FI,2031,more-molecule,10129805.353775294,0.6357778501275165,bau-eu
FI,2032,more-molecule,9491977.978458099,0.5957458353681697,bau-eu
FI,2033,more-molecule,8854150.603140905,0.555713820608823,bau-eu
FI,2034,more-molecule,8216323.227823715,0.5156818058494764,bau-eu
FI,2035,more-molecule,7578495.852506521,0.4756497910901297,bau-eu
FI,2036,more-molecule,6940668.477189327,0.43561777633078297,bau-eu
FI,2037,more-molecule,6302841.101872135,0.3955857615714364,bau-eu
FI,2038,more-molecule,5665013.726554941,0.3555537468120897,bau-eu
FI,2039,more-molecule,5027186.351237748,0.315521732052743,bau-eu
FI,2040,more-molecule,4389358.975920555,0.2754897172933963,bau-eu
FI,2041,more-molecule,4113694.7826031884,0.2581881816701937,bau-eu
FI,2042,more-molecule,3838030.5892858226,0.24088664604699117,bau-eu
FI,2043,more-molecule,3562366.3959684563,0.22358511042378862,bau-eu
FI,2044,more-molecule,3286702.2026510895,0.20628357480058604,bau-eu
FI,2045,more-molecule,3011038.0093337237,0.18898203917738352,bau-eu
FI,2046,more-molecule,2735373.816016357,0.1716805035541809,bau-eu
FI,2047,more-molecule,2459709.6226989906,0.15437896793097836,bau-eu
FI,2048,more-molecule,2184045.4293816234,0.13707743230777575,bau-eu
FI,2049,more-molecule,1908381.2360642576,0.11977589668457321,bau-eu
FI,2050,more-molecule,1632717.0427468917,0.10247436106137069,bau-eu
FR,2019,more-molecule,18499451.246775575,1.0,bau-eu
FR,2020,more-molecule,18499451.246775575,1.0,bau-eu
FR,2021,more-molecule,18499451.246775575,1.0,bau-eu
FR,2022,more-molecule,18499451.246775575,1.0,bau-eu
FR,2023,more-molecule,18499451.246775575,1.0,bau-eu
FR,2024,more-molecule,18499451.246775575,1.0,bau-eu
FR,2025,more-molecule,17499894.64690706,0.945968310814477,bau-eu
FR,2026,more-molecule,16500338.047038555,0.8919366216289544,bau-eu
FR,2027,more-molecule,15500781.447170043,0.8379049324434316,bau-eu
FR,2028,more-molecule,14501224.847301532,0.7838732432579086,bau-eu
FR,2029,more-molecule,13501668.247433025,0.729841554072386,bau-eu
FR,2030,more-molecule,12502111.647564514,0.6758098648868631,bau-eu
FR,2031,more-molecule,11761541.34221378,0.6357778501275165,bau-eu
FR,2032,more-molecule,11020971.036863044,0.5957458353681697,bau-eu
FR,2033,more-molecule,10280400.731512308,0.5557138206088229,bau-eu
FR,2034,more-molecule,9539830.426161578,0.5156818058494765,bau-eu
FR,2035,more-molecule,8799260.120810842,0.4756497910901297,bau-eu
FR,2036,more-molecule,8058689.815460106,0.43561777633078297,bau-eu
FR,2037,more-molecule,7318119.510109374,0.3955857615714364,bau-eu
FR,2038,more-molecule,6577549.2047586385,0.3555537468120896,bau-eu
FR,2039,more-molecule,5836978.899407905,0.315521732052743,bau-eu
FR,2040,more-molecule,5096408.594057172,0.27548971729339633,bau-eu
FR,2041,more-molecule,4776339.679301383,0.2581881816701937,bau-eu
FR,2042,more-molecule,4456270.764545597,0.24088664604699114,bau-eu
FR,2043,more-molecule,4136201.8497898113,0.22358511042378865,bau-eu
FR,2044,more-molecule,3816132.935034024,0.20628357480058604,bau-eu
FR,2045,more-molecule,3496064.0202782378,0.1889820391773835,bau-eu
FR,2046,more-molecule,3175995.1055224505,0.1716805035541809,bau-eu
FR,2047,more-molecule,2855926.1907666638,0.15437896793097833,bau-eu
FR,2048,more-molecule,2535857.2760108765,0.13707743230777575,bau-eu
FR,2049,more-molecule,2215788.3612550907,0.11977589668457322,bau-eu
FR,2050,more-molecule,1895719.4464993044,0.10247436106137069,bau-eu
GR,2019,more-molecule,20491792.003439378,1.0,bau-eu
GR,2020,more-molecule,20491792.003439378,1.0,bau-eu
GR,2021,more-molecule,20491792.003439378,1.0,bau-eu
GR,2022,more-molecule,20491792.003439378,1.0,bau-eu
GR,2023,more-molecule,20491792.003439378,1.0,bau-eu
GR,2024,more-molecule,20491792.003439378,1.0,bau-eu
GR,2025,more-molecule,19384585.867055155,0.945968310814477,bau-eu
GR,2026,more-molecule,18277379.73067094,0.8919366216289543,bau-eu
GR,2027,more-molecule,17170173.59428672,0.8379049324434314,bau-eu
GR,2028,more-molecule,16062967.457902502,0.7838732432579086,bau-eu
GR,2029,more-molecule,14955761.321518287,0.7298415540723859,bau-eu
GR,2030,more-molecule,13848555.185134066,0.675809864886863,bau-eu
GR,2031,more-molecule,13028227.465206921,0.6357778501275164,bau-eu
GR,2032,more-molecule,12207899.745279774,0.5957458353681698,bau-eu
GR,2033,more-molecule,11387572.025352625,0.555713820608823,bau-eu
GR,2034,more-molecule,10567244.30542548,0.5156818058494764,bau-eu
GR,2035,more-molecule,9746916.585498331,0.4756497910901297,bau-eu
GR,2036,more-molecule,8926588.86557118,0.4356177763307829,bau-eu
GR,2037,more-molecule,8106261.145644036,0.3955857615714364,bau-eu
GR,2038,more-molecule,7285933.425716887,0.3555537468120896,bau-eu
GR,2039,more-molecule,6465605.705789739,0.3155217320527429,bau-eu
GR,2040,more-molecule,5645277.985862594,0.27548971729339633,bau-eu
GR,2041,more-molecule,5290738.516531828,0.25818818167019364,bau-eu
GR,2042,more-molecule,4936199.047201065,0.24088664604699117,bau-eu
