country,year,jet_fossil_kt_per_yr,jet_total_kt_per_yr,jet_esaf_kt_per_yr,h2_esaf_kt_per_yr
DK,2028,42485.44534933178,42485.44534933178,0.0,0.0
DK,2029,42060.59089583845,42060.59089583845,0.0,0.0
DK,2030,41639.98498688007,41639.98498688007,0.0,0.0
DK,2031,41223.58513701127,41223.58513701127,0.0,0.0
DK,2032,40811.349285641154,40811.349285641154,0.0,0.0
DK,2033,39618.952749664095,40403.23579278475,784.283043120653,392.1415215603265
DK,2034,37228.491703443025,39999.2034348569,2770.711731413874,1385.355865706937
DK,2035,34838.03065722195,39599.21140050833,4761.180743286379,2380.5903716431894
DK,2036,32447.569611000865,39203.21928650324,6755.649675502376,3377.824837751188
DK,2037,30057.108564779785,38811.18709363821,8754.078528858427,4377.039264429213
DK,2038,27666.647518558704,38423.075222701824,10756.42770414312,5378.21385207156
DK,2039,25276.18647233763,38038.84447047481,12762.65799813718,6381.32899906859
DK,2040,22885.72542611655,37658.456025770065,14772.730599653514,7386.365299826757
DK,2041,21710.088846007824,37281.87146551236,15571.782619504538,7785.891309752269
DK,2042,20534.452265899097,36909.052750857234,16374.600484958137,8187.300242479068
DK,2043,19358.815685790367,36539.962223348666,17181.1465375583,8590.57326877915
DK,2044,18183.179105681644,36174.562601115176,17991.383495433533,8995.691747716766
DK,2045,17007.542525572917,35812.816975104026,18805.27444953111,9402.637224765554
DK,2046,15831.90594546419,35454.688805352984,19622.782859888794,9811.391429944397
DK,2047,14656.26936535546,35100.14191729946,20443.872551943998,10221.936275971999
DK,2048,13480.632785246737,34749.14049812646,21268.50771287972,10634.25385643986
DK,2049,12304.996205138008,34401.64909314519,22096.652888007186,11048.326444003593
DK,2050,11129.35962502928,34057.632602213744,22928.272977184464,11464.136488592232
EE,2025,0.0,0.0,0.0,0.0
EE,2026,0.0,0.0,0.0,0.0
EE,2027,0.0,0.0,0.0,0.0
EE,2028,0.0,0.0,0.0,0.0
EE,2029,0.0,0.0,0.0,0.0
EE,2030,0.0,0.0,0.0,0.0
EE,2031,0.0,0.0,0.0,0.0
EE,2032,0.0,0.0,0.0,0.0
EE,2033,0.0,0.0,0.0,0.0
EE,2034,0.0,0.0,0.0,0.0
EE,2035,0.0,0.0,0.0,0.0
EE,2036,0.0,0.0,0.0,0.0
EE,2037,0.0,0.0,0.0,0.0
EE,2038,0.0,0.0,0.0,0.0
EE,2039,0.0,0.0,0.0,0.0
EE,2040,0.0,0.0,0.0,0.0
EE,2041,0.0,0.0,0.0,0.0
EE,2042,0.0,0.0,0.0,0.0
EE,2043,0.0,0.0,0.0,0.0
EE,2044,0.0,0.0,0.0,0.0
EE,2045,0.0,0.0,0.0,0.0
EE,2046,0.0,0.0,0.0,0.0
EE,2047,0.0,0.0,0.0,0.0
EE,2048,0.0,0.0,0.0,0.0
EE,2049,0.0,0.0,0.0,0.0
EE,2050,0.0,0.0,0.0,0.0
ES,2025,41754.17415767181,41754.17415767181,0.0,0.0
ES,2026,41336.6324160951,41336.6324160951,0.0,0.0
ES,2027,40923.26609193414,40923.26609193414,0.0,0.0
ES,2028,40514.0334310148,40514.0334310148,0.0,0.0
ES,2029,40108.893096704654,40108.893096704654,0.0,0.0
ES,2030,39707.8041657376,39707.8041657376,0.0,0.0
ES,2031,39310.72612408023,39310.72612408023,0.0,0.0
ES,2032,38917.61886283942,38917.61886283942,0.0,0.0
ES,2033,37780.55197500555,38528.44267421103,747.8906992054835,373.94534960274177
ES,2034,35501.01323071739,38143.15824746892,2642.1450167515286,1321.0725083757643
ES,2035,33221.47448642922,37761.72666499423,4540.25217856501,2270.126089282505
ES,2036,30941.93574214105,37384.10939834429,6442.173656203242,3221.086828101621
ES,2037,28662.396997852873,37010.26830436085,8347.871306507976,4173.935653253988
ES,2038,26382.858253564707,36640.16562131723,10257.307367752524,5128.653683876262
ES,2039,24103.319509276535,36273.763965104066,12170.444455827532,6085.222227913766
ES,2040,21823.780764988373,35911.02632545302,14087.24556046465,7043.622780232325
ES,2041,20702.696136649927,35551.91606219849,14849.219925548565,7424.609962774282
ES,2042,19581.61150831149,35196.39690157651,15614.785393265021,7807.392696632511
ES,2043,18460.52687997304,34844.43293256074,16383.9060525877,8191.95302629385
ES,2044,17339.4422516346,34495.988603235135,17156.546351600537,8578.273175800268
ES,2045,16218.357623296151,34151.02871720278,17932.671093906632,8966.335546953316
ES,2046,15097.27299495771,33809.51843003075,18712.24543507304,9356.12271753652
ES,2047,13976.188366619264,33471.423245730446,19495.23487911118,9747.61743955559
ES,2048,12855.103738280824,33136.70901327315,20281.605274992322,10140.802637496161
ES,2049,11734.01910994238,32805.34192314041,21071.322813198032,10535.661406599016
ES,2050,10612.934481603934,32477.288503909007,21864.354022305073,10932.177011152537
FI,2025,53666.61300157463,53666.61300157463,0.0,0.0
FI,2026,53129.94687155888,53129.94687155888,0.0,0.0
FI,2027,52598.64740284329,52598.64740284329,0.0,0.0
FI,2028,52072.66092881486,52072.66092881486,0.0,0.0
FI,2029,51551.934319526714,51551.934319526714,0.0,0.0
FI,2030,51036.41497633144,51036.41497633144,0.0,0.0
FI,2031,50526.050826568135,50526.050826568135,0.0,0.0
FI,2032,50020.79031830245,50020.79031830245,0.0,0.0
FI,2033,48559.318983823345,49520.582415119425,961.26343129608,480.63171564804
FI,2034,45629.42931219801,49025.376590968226,3395.947278770218,1697.973639385109
FI,2035,42699.53964057267,48535.12282505855,5835.583184485877,2917.7915922429383
FI,2036,39769.64996894732,48049.771596807965,8280.121627860644,4140.060813930322
FI,2037,36839.76029732197,47569.27388083988,10729.51358351791,5364.756791758955
FI,2038,33909.87062569662,47093.58114203148,13183.71051633486,6591.85525816743
FI,2039,30979.98095407128,46622.645330611165,15642.664376539884,7821.332188269942
FI,2040,28050.091282445937,46156.418877305056,18106.327594859118,9053.163797429559
FI,2041,26609.16193574494,45694.854688532,19085.69275278706,9542.84637639353
FI,2042,25168.232589043953,45237.90614164668,20069.673552602726,10034.836776301363
FI,2043,23727.30324234296,44785.52708023022,21058.223837887257,10529.111918943629
FI,2044,22286.373895641977,44337.67180942791,22051.297913785937,11025.648956892968
