DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-02,12.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-03,13.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-04,13.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-05,20.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-06,19.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-07,19.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-08,22.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-09,20.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-10,16.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Czechia,2025-11,16.000,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Germany,2024-12,466.915,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Germany,2025-01,461.554,,
ESTAT:NRG_CB_OILM(1.0),27/02/26 23:00:00,Monthly,Imports,Kerosene-type jet fuel (excluding biofuel portion),Thousand tonnes,Germany,2025-02,431.041,,
