country,year,refinery_scenario,demand_scenario,marine_fossil_proxy_t_per_yr,marine_total_t_per_yr,marine_fossil_used_t_per_yr,marine_methanol_eq_t_per_yr,methanol_t_per_yr,h2_for_methanol_t_per_yr,methanol_share
EE,2034,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.28800000000000003
EE,2035,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.32
EE,2036,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.35200000000000004
EE,2037,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.38400000000000006
EE,2038,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.41600000000000004
EE,2039,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.44800000000000006
EE,2040,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.48
EE,2041,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.512
EE,2042,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.544
EE,2043,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.5760000000000001
EE,2044,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.6080000000000001
EE,2045,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.64
EE,2046,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.672
EE,2047,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.7040000000000001
EE,2048,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.7360000000000001
EE,2049,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.7680000000000001
EE,2050,max-electron,decline-1pct,0.0,0.0,0.0,0.0,0.0,0.0,0.8
ES,2025,max-electron,decline-1pct,52388.90750704899,52388.90750704899,52388.90750704899,0.0,0.0,0.0,0.0
ES,2026,max-electron,decline-1pct,48835.69206000966,51865.018431978504,48835.69206000966,3029.3263719688475,6500.112365983407,1235.0213495368473,0.032
ES,2027,max-electron,decline-1pct,45282.47661297031,51346.36824765871,45282.47661297031,6063.8916346884,13011.46596990928,2472.1785342827634,0.064
ES,2028,max-electron,decline-1pct,41729.261165930955,50832.90456518213,41729.261165930955,9103.643399251174,19533.948399398247,3711.4501958856667,0.09600000000000002
ES,2029,max-electron,decline-1pct,38176.04571889162,50324.575519530306,38176.04571889162,12148.529800638687,26067.44836619457,4952.815189576969,0.128
ES,2030,max-electron,decline-1pct,34622.830271852275,49821.329764335,34622.830271852275,15198.499492482726,32611.85569492525,6196.252582035798,0.16
ES,2031,max-electron,decline-1pct,32582.45624827631,49323.11646669166,32582.45624827631,16740.66021841535,35920.91413700178,6824.973686030338,0.19200000000000003
ES,2032,max-electron,decline-1pct,30542.082224700338,48829.88530202473,30542.082224700338,18287.803077324395,39240.66288451014,7455.725948056926,0.22400000000000003
ES,2033,max-electron,decline-1pct,28501.708201124377,48341.58644900449,28501.708201124377,19839.878247880115,42570.99503439603,8088.489056535246,0.256
ES,2034,max-electron,decline-1pct,26461.33417754841,47858.170584514446,26461.33417754841,21396.836406966035,45911.80475263566,8723.242903000775,0.28800000000000003
ES,2035,max-electron,decline-1pct,24420.96015397244,47379.588878669296,24420.96015397244,22958.628724696857,49262.98726354552,9359.967580073648,0.32
ES,2036,max-electron,decline-1pct,22380.58613039647,46905.792989882604,22380.58613039647,24525.206859486134,52624.43883919889,9998.643379447789,0.35200000000000004
ES,2037,max-electron,decline-1pct,20340.212106820498,46436.73505998378,20340.212106820498,26096.522953163283,55996.05678894835,10639.250789900187,0.38400000000000006
ES,2038,max-electron,decline-1pct,18299.838083244533,45972.367709383936,18299.838083244533,27672.529626139403,59377.73944905289,11281.77049532005,0.41600000000000004
